method,C,D,reward policy,simulation policy,expand policy,number of iteration,node utilization,link utilization,total utilization,acceptance ratio,revenue cost ratio,profitability
VNE-SPMCTS,10000,10000,R-C,random,LAHF,5,0.3810543952618454,0.7118051833034237,0.6356611169916934,0.6529080675422139,0.46285612972737067,0.30220250121036585
MaVEn-S,10000,0,R-C,random,random,5,0.3504293952618454,0.7240829002260702,0.6380619494429394,0.6041275797373359,0.4100579775027468,0.24772733350072135
VNE-SPMCTS,10000,10000,R-C,random,LAHF,15,0.41863933915211965,0.7185680658167666,0.6495197258651931,0.7166979362101313,0.5192314075923148,0.37213207823689354
MaVEn-S,10000,0,R-C,random,random,15,0.388512312967581,0.7284918544759597,0.6502231830495702,0.6691682301438399,0.46742751214141576,0.3127876410202094
VNE-SPMCTS,10000,10000,R-C,random,LAHF,30,0.43944124064837903,0.7178991772904189,0.6537937530275032,0.7485928705440901,0.5501564665941746,0.41184320857612694
MaVEn-S,10000,0,R-C,random,random,30,0.4156818890274314,0.7304344279488195,0.6579734117942554,0.7198248905565978,0.4994373272162344,0.35950741940330566
VNE-SPMCTS,10000,10000,R-C,random,LAHF,50,0.4353857543640898,0.7288315426387304,0.6612756777121943,0.7429643527204502,0.5368828286340541,0.39888480326282444
MaVEn-S,10000,0,R-C,random,random,50,0.4196680174563591,0.7306674901531218,0.6590704892445146,0.7210756722951845,0.5141211048065404,0.37072022128951915
VNE-SPMCTS,10000,10000,R-C,random,LAHF,75,0.4204340710723192,0.7345229216677932,0.662214697070274,0.7298311444652908,0.5084917592916844,0.3711131226350192
MaVEn-S,10000,0,R-C,random,random,75,0.3975763715710724,0.7469999067751182,0.6665570785267048,0.6860537836147592,0.4657845340256857,0.31955324191755924
